ID,POSITION NAME,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,MAXIMUM AGE REQUIRED,YW STAFF MATCH NUMBER,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,SECOND LANGUAGE,SECOND LANGUAGE PROFICIENCY,SCHOOL REQUEST,GRADE REQUEST
11581,HEBCAC YO MEMBER-SUMMER YOUTH OFFICE,60,0,60,18,21,0,21213,EAST,NO,NO,NO,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,NO PREFERENCE,"SOME COLLEGE,
"
11646,UMMCARE PORTER,30,0,30,16,21,0,21201,DOWNTOWN,NO,YES,NO,"BUSINESS/FINANCE,
COMMUNICATION/MEDIA,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
ELECTRICAL/CARPENTRY,
HOSPITALITY/TRAVEL,
NURSING,
CLERICAL OFFICE WORK,
RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),
COMMUNITY SERVICE,
","OFFICE EQUIPMENT,MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11649,GREEN TREAM CREW,4,0,0,14,16,4,21230,SOUTH,YES,NO,NO,,,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11654,YOUTH CAMP GROUP LEADER ASSISTANT/JUNIOR LEADER,3,0,2,16,18,1,21213,EAST,YES,YES,NO,,"VISUAL ARTS,SWIMMING,POETRY,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11662,FACILITIES ASSISTANT,4,0,0,15,21,4,21218,EAST,NO,NO,NO,"CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,"GRADE 9,
"
11666,RECREATION LEADER  II,3,0,1,16,21,2,21212,EAST,YES,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11662,JUNIOR COUNSELOR TRAINEE,8,0,8,15,21,0,21218,EAST,NO,YES,NO,"CLERICAL OFFICE WORK,
TEACHER'S AIDE,
CAMP COUNSELOR,
","PLAYS INSTRUMENT,VISUAL ARTS,POETRY,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11650,CAMP AIDE- MORNING,1,0,0,17,21,1,21213,EAST,NO,YES,NO,"CUSTODIAL,
RECREATION AND SPORTS,
STEM,
COMMUNITY SERVICE,
CAMP COUNSELOR,
","VISUAL ARTS,SWIMMING,OFFICE EQUIPMENT,MICROSOFT,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11677,GENERAL CAMPUS/IT ASSISTANT,8,0,8,14,21,0,21223,WEST,NO,YES,YES,,"OFFICE EQUIPMENT,MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11679,SUMMER CAMP AID,3,0,0,16,21,3,21224,EAST,YES,YES,NO,"CAMP COUNSELOR,
","VISUAL ARTS,SWIMMING,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
11578,BARISTA- AFTERNOON,7,2,7,16,21,0,21213,EAST,NO,YES,NO,"CULINARY ARTS/FOOD SERVICE,
RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),
COMMUNITY SERVICE,
",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11578,BARISTA- EVENING,6,0,6,16,21,0,21213,EAST,NO,YES,NO,"CULINARY ARTS/FOOD SERVICE,
RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),
COMMUNITY SERVICE,
",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,"12TH GRADE CERTIFICATION OF COMPLETION,
GED,
HS GRAD / DIPLOMA,
"
11723,YOUTH SUMMER ENRICHMENT CAMP COORDINATOR-AM,5,0,0,15,21,5,21217,WEST,YES,YES,NO,,"VISUAL ARTS,MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,3.ADVANCED (AP/COLLEGE CLASSES OR NATIVE SPEAKER),NO PREFERENCE,NO PREFERENCE
11722,CAMP AIDE- MORNING,11,0,11,14,21,0,21213,EAST,YES,NO,NO,"CUSTODIAL,
RECREATION AND SPORTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
PRE-SCHOOL CHILDCARE,
","VISUAL ARTS,OFFICE EQUIPMENT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11725,CUSTOMER SERVICE INTERN,16,12,5,16,21,11,21201,DOWNTOWN,NO,YES,NO,"COMPUTER INFORMATION TECH,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,
STEM,
",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11723,YOUTH LABORER-AM,5,0,0,15,21,5,21217,WEST,YES,YES,NO,,MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,3.ADVANCED (AP/COLLEGE CLASSES OR NATIVE SPEAKER),NO PREFERENCE,NO PREFERENCE
11725,INFORMATION TECH INTERN,2,1,1,16,21,1,21201,DOWNTOWN,NO,YES,YES,"COMPUTER INFORMATION TECH,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,
STEM,
","OFFICE EQUIPMENT,MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,"GRADE 8,
"
11725,DATA ENTRY INTERN,2,0,0,16,21,2,21201,DOWNTOWN,NO,YES,YES,"COMPUTER INFORMATION TECH,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,
STEM,
","OFFICE EQUIPMENT,MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11719,YOUTH ACTIVITIES ASSISTANT,2,0,0,14,21,2,21223,SOUTH,YES,NO,NO,"CUSTODIAL,
CLERICAL OFFICE WORK,
VISUAL ARTS,
CAMP COUNSELOR,
","VISUAL ARTS,OFFICE EQUIPMENT,POETRY,DANCING",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11732,YOUTH CAMP COUNSELORS,10,0,6,15,21,4,21229,WEST,YES,YES,NO,,"VISUAL ARTS,SWIMMING,OFFICE EQUIPMENT,MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,"12TH GRADE CERTIFICATION OF COMPLETION,
GED,
HS GRAD / DIPLOMA,
"
11642,CAMP SUPPORTER,4,0,0,18,21,4,21218,EAST,NO,NO,YES,"BUSINESS/FINANCE,
COMMUNICATION/MEDIA,
COMPUTER INFORMATION TECH,
GOVERNMENT/PUBLIC SERVICE,
STEM,
","VISUAL ARTS,MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,NO PREFERENCE,NO PREFERENCE
11605,YOUTH CAMP WORKER - 1,1,0,1,16,21,0,21229,WEST,NO,NO,NO,"RECREATION AND SPORTS,
COMMUNITY SERVICE,
CAMP COUNSELOR,
",SWIMMING,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11737,YOUTH CAMP ASSISTANT ,3,3,1,16,21,2,21230,DOWNTOWN,NO,NO,NO,"CUSTODIAL,
RECREATION AND SPORTS,
STEM,
MUSICAL ARTS,
CAMP COUNSELOR,
","VISUAL ARTS,SWIMMING,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
11746,YOUTH CAMP COUNSELOR,70,0,70,14,21,0,21244,WEST,NO,NO,NO,"COMMUNITY SERVICE,
MUSICAL ARTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
","PLAYS INSTRUMENT,OFFICE EQUIPMENT,MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11759,ORCHKIDS SUMMER INTERN,5,0,5,16,18,0,21223,WEST,NO,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
","PLAYS INSTRUMENT,VISUAL ARTS,OFFICE EQUIPMENT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
11780,PERFORMANCE ART TRAINEE,25,0,10,14,21,15,21216,WEST,NO,NO,NO,,"POETRY,DANCING",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,NO PREFERENCE,NO PREFERENCE
11627,PROJECT MANAGEMENT TEAM MEMBER,20,0,20,14,21,0,21201,DOWNTOWN,NO,YES,YES,"COMMUNICATION/MEDIA,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,
COMMUNITY SERVICE,
","VISUAL ARTS,OFFICE EQUIPMENT,MICROSOFT,CADD",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11787,YOUTH CUSTODIAN,10,3,5,14,19,5,21213,EAST,NO,NO,NO,"CUSTODIAL,
ENVIRONMENTAL/GREEN,
",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11785,SPORTS BASED YOUTH DEVELOPMENT ASSISTANT,40,0,40,14,18,0,21206,EAST,YES,NO,NO,,,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,"GRADE 7,
"
11785,HS PREP AND LEADERSHIP YOUTHWORKER,30,0,30,14,18,0,21206,EAST,YES,NO,NO,,,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11792,ENVIRONMENTAL STEWARDS,2,0,2,18,21,2,21215,NORTH,NO,YES,NO,"CUSTODIAL,
RECREATION AND SPORTS,
COMMUNITY SERVICE,
",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11793,YOUTH MAIN OFFICE SUPPORT,1,0,0,16,18,1,21216,WEST,NO,NO,YES,,OFFICE EQUIPMENT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11793,YOUTH CUSTODIAL SUPPORT,3,3,3,14,17,0,21216,WEST,NO,NO,NO,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11755,YOUTH ACTIVITY COORDINATORS,3,2,3,14,21,0,21223,WEST,NO,NO,NO,"COMMUNICATION/MEDIA,
STEM,
COMMUNITY SERVICE,
VISUAL ARTS,
GRAPHIC DESIGN,
","VISUAL ARTS,POETRY,DANCING",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11742,YOUTH CAMP  ASSISTANT,3,2,3,16,21,0,21229,WEST,YES,NO,NO,"CUSTODIAL,
CLERICAL OFFICE WORK,
RECREATION AND SPORTS,
CAMP COUNSELOR,
","VISUAL ARTS,SWIMMING,OFFICE EQUIPMENT,MICROSOFT,POETRY,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11729,CAMP COUNSELOR,6,2,3,14,21,3,21239,EAST,NO,NO,NO,"CLERICAL OFFICE WORK,
TEACHER'S AIDE,
CAMP COUNSELOR,
",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,"GRADE 9,
"
11791,OFFICE ASSISTANT,1,0,0,14,21,1,21214,EAST,NO,NO,NO,,OFFICE EQUIPMENT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11791,CUSTODIAL WORKER,3,0,0,14,21,3,21214,EAST,NO,NO,NO,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11798,SR./JR. PROGRAM ASSISTANT,20,0,20,14,21,0,21216,NORTH,NO,YES,NO,,"OFFICE EQUIPMENT,MICROSOFT,POETRY,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,410 SCHOOL OF INTELLIGENCE,NO PREFERENCE
11799,CAMP GROUP LEADER,3,0,3,16,21,0,21217,WEST,NO,YES,NO,"CUSTODIAL,
CLERICAL OFFICE WORK,
RECREATION AND SPORTS,
CAMP COUNSELOR,
","VISUAL ARTS,SWIMMING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11755,PHOTOGRAPHY AND VIDEOGRAPHY,1,1,1,15,21,0,21223,WEST,NO,NO,NO,"COMMUNICATION/MEDIA,
STEM,
COMMUNITY SERVICE,
VISUAL ARTS,
GRAPHIC DESIGN,
",VISUAL ARTS,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11755,SOCIAL MEDIA AND MARKETING,1,1,1,15,21,0,21223,WEST,NO,NO,NO,"COMMUNICATION/MEDIA,
STEM,
COMMUNITY SERVICE,
VISUAL ARTS,
GRAPHIC DESIGN,
",VISUAL ARTS,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11754,ACTIVITY COORDINATORS,3,1,3,14,21,0,21217,WEST,NO,NO,NO,,"VISUAL ARTS,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11754,PHOTOGRAPHY AND VIDEOGRAPHY,1,0,1,15,21,0,21217,WEST,NO,NO,NO,,VISUAL ARTS,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11754,SOCIAL MEDIA AND MARKETING,1,0,1,15,21,0,21217,WEST,NO,NO,NO,,VISUAL ARTS,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11639,SUPERKIDS CAMP SUMMER PROGRAMS ASSISTANT,2,0,2,14,21,0,21215,WEST,YES,NO,NO,,"OFFICE EQUIPMENT,MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,"GRADE 11,
"
11807,SUMMER PROGRAMS ASSISTANT,2,0,2,14,21,0,21218,EAST,YES,NO,NO,,"OFFICE EQUIPMENT,MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
11801,CAMP COUNSELOR,14,0,14,14,21,0,21230,SOUTH,YES,NO,NO,"ENVIRONMENTAL/GREEN,
PORT OR MARITIME INDUSTRY,
RECREATION AND SPORTS,
COMMUNITY SERVICE,
CAMP COUNSELOR,
",SWIMMING,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,"GRADE 8,
"
11796,YOUTH CUSTODIAL,3,3,2,16,17,1,21223,WEST,YES,NO,NO,"CUSTODIAL,
",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11810,SUPERKIDS CAMP SUMMER PROGRAMS ASSISTANT,7,0,7,14,21,0,21217,SOUTH,YES,NO,NO,,"OFFICE EQUIPMENT,MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
11811,SUPERKIDS CAMP SUMMER PROGRAM ASSISTANT,7,0,7,14,21,0,21218,SOUTHEAST,YES,NO,NO,,"OFFICE EQUIPMENT,MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
11812,SUMMER PROGRAMS OFFICE ASSISTANT,1,0,1,14,21,0,21217,WEST,NO,YES,YES,,"OFFICE EQUIPMENT,MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
11667,CAMP ASSISTANT- MORNING,1,0,0,16,21,1,21216,WEST,YES,NO,NO,"CAMP COUNSELOR,
","VISUAL ARTS,SWIMMING,DANCING",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
