CODE #,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,
260291617,17,21217,NO,WEST,NO,YES,YES,GRAPHIC DESIGN,CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
482631775,18,21228,NO,SOUTH,NO,NO,YES,AUTO MECHANICS,RECREATION AND SPORTS,";VISUAL ARTS; SWIMMING; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
308700354,14,21214,NO,EAST,NO,YES,YES,ELDERLY SERVICES,GRAPHIC DESIGN,;PLAYS INSTRUMENT; SWIMMING; OFFICE EQUIPEMENT,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
326484231,17,21237,NO,EAST,YES,NO,NO,NURSING,CONSTRUCTION/MANUFACTURING,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
403745830,16,21224,NO,EAST,NO,YES,YES,STEM,STEM,;PLAYS INSTRUMENT; OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
361456849,18,21215,NO,WEST,YES,YES,YES,STEM,VISUAL ARTS,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
431251102,20,21217,NO,WEST,NO,YES,NO,RECREATION AND SPORTS,STEM,,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
520415088,18,21237,NO,EAST,YES,YES,NO,STEM,HOSPITALITY/TRAVEL,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
238822157,18,21128,NO,EAST,YES,NO,NO,CUSTODIAL,ENVIRONMENTAL/GREEN,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
126793395,15,21222,NO,EAST,YES,NO,NO,NURSING,HOSPITALITY/TRAVEL,,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
577331853,17,21201,NO,DOWNTOWN,NO,NO,YES,NURSING,STEM,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,
284614234,15,21228,NO,SOUTH,YES,NO,NO,ELECTRICAL/CARPENTRY,GRAPHIC DESIGN,;PLAYS INSTRUMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
268241282,17,21237,NO,EAST,YES,NO,YES,RETAIL (16+ YEAR OLD ONLY),RECREATION AND SPORTS,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
421509099,19,21212,NO,EAST,YES,YES,NO,CONSTRUCTION/MANUFACTURING,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
376181409,16,21205,NO,EAST,YES,YES,YES,NURSING,STEM,";(MICROSOFT WORD,POWERPOINT,EXCEL); DANCING",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
459476447,15,21237,NO,EAST,NO,YES,YES,VISUAL ARTS,PRE-SCHOOL CHILDCARE,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,
171807348,14,21216,NO,WEST,YES,NO,YES,COMPUTER INFORMATION TECH,TEACHER'S AIDE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
255784864,17,21214,NO,EAST,NO,YES,YES,ENVIRONMENTAL/GREEN,PRE-SCHOOL CHILDCARE,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,
301279657,18,21223,NO,WEST,YES,YES,YES,ELECTRICAL/CARPENTRY,PRE-SCHOOL CHILDCARE,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
260222036,15,21237,NO,EAST,NO,YES,YES,TEACHER'S AIDE,RECREATION AND SPORTS,";SWIMMING; (MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
505541549,19,21222,NO,EAST,NO,YES,YES,RECREATION AND SPORTS,PRE-SCHOOL CHILDCARE,;DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
490925505,17,21216,NO,WEST,NO,YES,YES,PRE-SCHOOL CHILDCARE,CULINARY ARTS/FOOD SERVICE,;DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
281208180,15,21163,NO,WEST,NO,NO,NO,COMPUTER INFORMATION TECH,CULINARY ARTS/FOOD SERVICE,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
260990891,15,21211,NO,WEST,NO,NO,NO,STEM,COMMUNICATION/MEDIA,,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
340445365,16,21217,NO,WEST,NO,YES,NO,RETAIL (16+ YEAR OLD ONLY),MUSICAL ARTS,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
180611828,17,21229,NO,WEST,YES,NO,NO,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
544111129,18,21224,NO,EAST,NO,YES,YES,PRE-SCHOOL CHILDCARE,RECREATION AND SPORTS,;PLAYS INSTRUMENT; CADD; POETRY,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
149208060,15,21215,NO,WEST,YES,YES,NO,PRE-SCHOOL CHILDCARE,BUSINESS/FINANCE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
526023392,15,21228,NO,SOUTH,NO,YES,YES,GOVERNMENT/PUBLIC SERVICE,GOVERNMENT/PUBLIC SERVICE,;PLAYS INSTRUMENT,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
186288703,15,21205,NO,EAST,YES,YES,YES,PRE-SCHOOL CHILDCARE,AUTO MECHANICS,;SWIMMING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
142145447,15,21229,NO,WEST,NO,YES,NO,VISUAL ARTS,NURSING,;VISUAL ARTS,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
166628071,16,21219,NO,EAST,NO,YES,YES,NURSING,PRE-SCHOOL CHILDCARE,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
152573834,14,21213,NO,EAST,NO,NO,YES,COMMUNICATION/MEDIA,RECREATION AND SPORTS,;CADD; POETRY,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
582512137,15,21212,NO,EAST,NO,YES,YES,NURSING,ARCHITECTURE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
365651824,20,21237,NO,EAST,YES,YES,NO,RECREATION AND SPORTS,PRE-SCHOOL CHILDCARE,;CADD,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
401190690,18,21205,NO,EAST,NO,YES,YES,CLERICAL OFFICE WORK,CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,
340387798,17,21223,NO,WEST,NO,YES,YES,PRE-SCHOOL CHILDCARE,COMMUNITY SERVICE,;CADD,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
111466074,19,21214,NO,EAST,NO,NO,NO,HOSPITALITY/TRAVEL,PRE-SCHOOL CHILDCARE,,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
264103692,15,21215,NO,WEST,NO,YES,YES,ENVIRONMENTAL/GREEN,RECREATION AND SPORTS,;VISUAL ARTS; SWIMMING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
109598293,20,21216,NO,WEST,YES,YES,NO,COMPUTER INFORMATION TECH,RECREATION AND SPORTS,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
114866147,19,21214,NO,EAST,NO,YES,YES,COMPUTER INFORMATION TECH,COMPUTER INFORMATION TECH,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
407205554,15,21212,NO,EAST,YES,YES,NO,CAMP COUNSELOR,NURSING,;SPANISH & ENGLISH BILINGUAL,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
210583724,17,21213,NO,EAST,YES,NO,NO,RECREATION AND SPORTS,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
387858287,15,21228,NO,SOUTH,YES,NO,NO,CULINARY ARTS/FOOD SERVICE,PRE-SCHOOL CHILDCARE,;SWIMMING; OFFICE EQUIPEMENT,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,
135943876,16,21228,NO,SOUTH,YES,NO,YES,RETAIL (16+ YEAR OLD ONLY),COMMUNITY SERVICE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
121865080,16,21216,NO,WEST,NO,YES,YES,CULINARY ARTS/FOOD SERVICE,STEM,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
238334219,17,21201,NO,DOWNTOWN,NO,YES,YES,COMMUNICATION/MEDIA,PRE-SCHOOL CHILDCARE,;VISUAL ARTS; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
386176655,14,21224,NO,EAST,NO,YES,YES,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,;POETRY,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
501522424,14,21228,NO,SOUTH,YES,NO,NO,STEM,AUTO MECHANICS,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
195092721,18,21214,NO,EAST,YES,YES,NO,RETAIL (16+ YEAR OLD ONLY),VISUAL ARTS,;VISUAL ARTS; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
540506941,17,21206,NO,EAST,NO,YES,YES,COMPUTER INFORMATION TECH,MUSICAL ARTS,;VISUAL ARTS; CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,
463428769,16,21205,NO,EAST,YES,YES,YES,GRAPHIC DESIGN,STEM,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
228516020,15,21224,NO,EAST,NO,YES,YES,VISUAL ARTS,COMMUNITY SERVICE,;VISUAL ARTS,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
160540175,16,21163,NO,WEST,NO,YES,YES,TEACHER'S AIDE,PRE-SCHOOL CHILDCARE,;POETRY,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
453709382,15,21217,NO,WEST,NO,NO,NO,BUSINESS/FINANCE,PRE-SCHOOL CHILDCARE,;DANCING,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
297197274,17,21223,NO,WEST,NO,NO,YES,COMMUNITY SERVICE,COMMUNITY SERVICE,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,
325503466,16,21214,NO,EAST,NO,YES,NO,STEM,NURSING,;CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
327182896,16,21228,NO,SOUTH,YES,NO,NO,ELECTRICAL/CARPENTRY,PRE-SCHOOL CHILDCARE,";(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
240262780,17,21222,NO,EAST,NO,YES,YES,COMPUTER INFORMATION TECH,TEACHER'S AIDE,;PLAYS INSTRUMENT; POETRY,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
409795870,17,21215,NO,WEST,YES,NO,NO,CAMP COUNSELOR,NURSING,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
133999381,16,21204,NO,EAST,NO,YES,YES,VISUAL ARTS,PRE-SCHOOL CHILDCARE,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
404572725,15,21212,NO,EAST,NO,NO,NO,STEM,BUSINESS/FINANCE,;DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
355318794,14,21228,NO,SOUTH,NO,NO,NO,RECREATION AND SPORTS,BUSINESS/FINANCE,";VISUAL ARTS; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
196091048,15,21214,NO,EAST,NO,NO,NO,VISUAL ARTS,CONSTRUCTION/MANUFACTURING,;VISUAL ARTS; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
105389250,19,21217,NO,WEST,YES,NO,NO,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
284011171,15,21214,NO,EAST,YES,YES,YES,PRE-SCHOOL CHILDCARE,TEACHER'S AIDE,;VISUAL ARTS,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
316164456,17,21224,NO,EAST,NO,YES,YES,PRE-SCHOOL CHILDCARE,RECREATION AND SPORTS,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
181286202,17,21206,NO,EAST,NO,YES,NO,STEM,PRE-SCHOOL CHILDCARE,;POETRY; DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
371705732,18,21128,NO,EAST,NO,YES,YES,PRE-SCHOOL CHILDCARE,CULINARY ARTS/FOOD SERVICE,;SWIMMING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
203989862,18,21201,NO,DOWNTOWN,YES,YES,NO,GOVERNMENT/PUBLIC SERVICE,PRE-SCHOOL CHILDCARE,;VISUAL ARTS; SWIMMING; CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
323454137,18,21229,NO,WEST,NO,YES,YES,CULINARY ARTS/FOOD SERVICE,VISUAL ARTS,;VISUAL ARTS; CADD,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
408066941,15,21211,NO,WEST,YES,NO,NO,COMPUTER INFORMATION TECH,VISUAL ARTS,;DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
235668019,18,21217,NO,WEST,NO,NO,NO,STEM,NURSING,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,
372072244,16,21231,NO,DOWNTOWN,NO,YES,NO,CONSTRUCTION/MANUFACTURING,PRE-SCHOOL CHILDCARE,;SWIMMING,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
324997142,19,21213,NO,EAST,NO,NO,NO,TEACHER'S AIDE,CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
531817140,17,21207,NO,WEST,NO,NO,YES,STEM,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
549394437,18,21211,NO,WEST,YES,YES,NO,NURSING,STEM,;SWIMMING,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
431399273,20,21224,NO,EAST,NO,YES,YES,CAMP COUNSELOR,PRE-SCHOOL CHILDCARE,;DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
494901523,17,21214,NO,EAST,NO,YES,YES,RETAIL (16+ YEAR OLD ONLY),RECREATION AND SPORTS,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
512697575,17,21216,NO,WEST,NO,YES,YES,GOVERNMENT/PUBLIC SERVICE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
293220466,17,21228,NO,SOUTH,NO,NO,NO,MUSICAL ARTS,AUTO MECHANICS,";PLAYS INSTRUMENT; CADD; OFFICE EQUIPEMENT; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
553123423,17,21213,NO,EAST,YES,NO,NO,COMMUNICATION/MEDIA,RECREATION AND SPORTS,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
