Youth ID,Age,Zip,Willing to Travel Outside Zip Code,Side of City,Working Outside,Dress Code,With Computers,Career Interest 1,Career Interest 2,Skills,Job Choice A,Job Choice B,Job Choice C,Job Choice D,Job Choice E,Job Choice F,Job Choice G,Job Choice H,2nd Language
16,18,21215,No,West,Yes,Yes,Yes,Engineering,Visual Arts,"Visual Arts (Drawing, painting, etc)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
17,20,21217,No,West,No,Yes,No,Recreation And Sports,Engineering,,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
18,18,21237,No,East,Yes,Yes,No,Engineering,Hospitality/Travel,Spoken Word or Poetry,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Chinese
19,18,21128,No,Outside City (East),Yes,No,No,Custodial,Environmental/Green,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Spanish
20,15,21222,No,Outside City (East),Yes,No,No,Nursing,Hospitality/Travel,,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
21,17,21201,No,Downtown,No,No,Yes,Nursing,Engineering,Spoken Word or Poetry,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
22,15,21228,No,South,Yes,No,No,Electrical/Carpentry,Graphic Design,Plays an Intrustment,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
23,17,21237,No,East,Yes,No,Yes,Retail (17+ Year Old Only),Recreation And Sports,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
24,19,21212,No,East,Yes,Yes,No,Construction Trades,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
25,16,21205,No,East,Yes,Yes,Yes,Nursing,Engineering,"Microsoft Word, Powerpoint, Excel, Dancing",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
26,15,21237,No,East,No,Yes,Yes,Visual Arts,Pre-School Childcare,"Visual Arts (Drawing, painting, etc)",NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
27,14,21216,No,West,Yes,No,Yes,Computer Information Tech,Teacher's Aide,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
28,17,21214,No,East,No,Yes,Yes,Environmental/Green,Pre-School Childcare,,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,
29,18,21223,No,West,Yes,Yes,Yes,Electrical/Carpentry,Pre-School Childcare,"Office Equipment (i.e. copier, fax machine, scanner, etc.)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,Spanish
30,15,21237,No,East,No,Yes,Yes,Teacher's Aide,Recreation And Sports,"Swimming, Microsoft Word, Powerpoint, Excel",INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
31,19,21222,No,Outside City (East),No,Yes,Yes,Recreation And Sports,Pre-School Childcare,Dancing,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
32,17,21216,No,West,No,Yes,Yes,Pre-School Childcare,Culinary Arts/Food Service,"Spanish & English Bilingual, Dancing",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
33,15,21163,No,Outside City (West),No,No,No,Computer Information Tech,Culinary Arts/Food Service,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
34,15,21211,No,West,No,No,No,STEM,Communication/Media,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
35,16,21217,No,West,No,Yes,No,Retail (17+ Year Old Only),Musical Arts,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
36,17,21229,No,West,Yes,No,No,Pre-School Childcare,Pre-School Childcare,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
37,18,21224,No,East,No,Yes,Yes,Pre-School Childcare,Recreation And Sports,"Spanish & English Bilingual, Plays an Intrustment, CADD (Computer Aided Drafting and Design), Spoken Word or Poetry",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
38,15,21215,No,West,Yes,Yes,No,Pre-School Childcare,Business/Finance,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
39,15,21228,No,South,No,Yes,Yes,Government/Public Service,Government/Public Service,Plays an Intrustment,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
40,15,21205,No,East,Yes,Yes,Yes,Pre-School Childcare,Auto Mechanics,Swimming,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
41,15,21229,No,West,No,Yes,No,Visual Arts,Nursing,"Visual Arts (Drawing, painting, etc)",INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
42,16,21219,No,Outside City (East),No,Yes,Yes,Nursing,Pre-School Childcare,"Microsoft Word, Powerpoint, Excel",NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
43,14,21213,No,East,No,No,Yes,Communication/Media,Recreation And Sports,"CADD (Computer Aided Drafting and Design), Spoken Word or Poetry",INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
44,15,21212,No,East,No,Yes,Yes,Nursing,Architecture,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
45,20,21237,No,East,Yes,Yes,No,Recreation And Sports,Pre-School Childcare,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
46,18,21205,No,East,No,Yes,Yes,Clerical Office Work,Culinary Arts/Food Service,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
47,17,21223,No,West,No,Yes,Yes,Pre-School Childcare,Community Service,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
48,19,21214,No,East,No,No,No,Hospitality/Travel,Pre-School Childcare,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Russian
49,15,21215,No,West,No,Yes,Yes,Environmental/Green,Recreation And Sports,"Visual Arts (Drawing, painting, etc), Swimming",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Spanish
50,20,21216,No,West,Yes,Yes,No,Computer Information Tech,Recreation And Sports,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
51,19,21214,No,East,No,Yes,Yes,Computer Information Tech,Computer Information Tech,"Microsoft Word, Powerpoint, Excel",NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
52,15,21212,No,East,Yes,Yes,No,Camp Counselor,Nursing,Spanish & English Bilingual,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,
53,17,21213,No,East,Yes,No,No,Recreation And Sports,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
54,15,21228,No,South,Yes,No,No,Culinary Arts/Food Service,Pre-School Childcare,"Swimming, Office Equipment (i.e. copier, fax machine, scanner, etc.)",INTERESTED,INTERESTED,INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
55,16,21228,No,South,Yes,No,Yes,Retail (17+ Year Old Only),Community Service,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
56,16,21216,No,West,No,Yes,Yes,Culinary Arts/Food Service,Engineering,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
57,17,21201,No,Downtown,No,Yes,Yes,Communication/Media,Pre-School Childcare,"Visual Arts (Drawing, painting, etc), Spoken Word or Poetry",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,
58,14,21224,No,East,No,Yes,Yes,Pre-School Childcare,Pre-School Childcare,Spoken Word or Poetry,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
59,14,21228,No,South,Yes,No,No,STEM,Auto Mechanics,"Microsoft Word, Powerpoint, Excel",NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
60,18,21214,No,East,Yes,Yes,No,Retail (17+ Year Old Only),Visual Arts,"Visual Arts (Drawing, painting, etc), Spoken Word or Poetry",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,Spanish
61,17,21206,No,East,No,Yes,Yes,Computer Information Tech,Musical Arts,"Visual Arts (Drawing, painting, etc), CADD (Computer Aided Drafting and Design)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
62,16,21205,No,East,Yes,Yes,Yes,Graphic Design,STEM,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
63,15,21224,No,East,No,Yes,Yes,Visual Arts,Community Service,"Visual Arts (Drawing, painting, etc)",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
64,16,21163,No,Outside City (West),No,Yes,Yes,Teacher's Aide,Pre-School Childcare,Spoken Word or Poetry,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
65,15,21217,No,West,No,No,No,Business/Finance,Pre-School Childcare,Dancing,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
66,17,21223,No,West,No,No,Yes,Community Service,Community Service,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
67,16,21214,No,East,No,Yes,No,STEM,Nursing,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
68,16,21228,No,South,Yes,No,No,Electrical/Carpentry,Pre-School Childcare,"Microsoft Word, Powerpoint, Excel",INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
69,17,21222,No,Outside City (East),No,Yes,Yes,Computer Information Tech,Teacher's Aide,"Spanish & English Bilingual, Plays an Intrustment, Spoken Word or Poetry",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
70,17,21215,No,West,Yes,No,No,Camp Counselor,Nursing,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
71,16,21204,No,Outside City (East),No,Yes,Yes,Visual Arts,Pre-School Childcare,"Spanish & English Bilingual, Visual Arts (Drawing, painting, etc)",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
72,15,21212,No,East,No,No,No,Engineering,Business/Finance,Dancing,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
73,14,21228,No,South,No,No,No,Recreation And Sports,Business/Finance,"Visual Arts (Drawing, painting, etc), Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
74,15,21214,No,East,No,No,No,Visual Arts,Construction Trades,"Visual Arts (Drawing, painting, etc), Spoken Word or Poetry",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
75,19,21217,No,West,Yes,No,No,Pre-School Childcare,Pre-School Childcare,"Visual Arts (Drawing, painting, etc)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
76,15,21214,No,East,Yes,Yes,Yes,Pre-School Childcare,Teacher's Aide,"Visual Arts (Drawing, painting, etc)",INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
77,17,21224,No,East,No,Yes,Yes,Pre-School Childcare,Recreation And Sports,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
78,17,21206,No,East,No,Yes,No,STEM,Pre-School Childcare,"Spoken Word or Poetry, Dancing",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
79,18,21128,No,Outside City (East),No,Yes,Yes,Pre-School Childcare,Culinary Arts/Food Service,Swimming,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
80,18,21201,No,Downtown,Yes,Yes,No,Government/Public Service,Pre-School Childcare,"Visual Arts (Drawing, painting, etc), Swimming, CADD (Computer Aided Drafting and Design)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,
81,18,21229,No,West,No,Yes,Yes,Culinary Arts/Food Service,Visual Arts,"Visual Arts (Drawing, painting, etc), CADD (Computer Aided Drafting and Design)",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
87,15,21211,No,West,Yes,No,No,Computer Information Tech,Visual Arts,Dancing,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,
89,18,21217,No,West,No,No,No,Engineering,Nursing,"Visual Arts (Drawing, painting, etc)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,
93,16,21231,No,Downtown,No,Yes,No,Construction Trades,Pre-School Childcare,Swimming,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
96,19,21213,No,East,No,No,No,Teacher's Aide,Culinary Arts/Food Service,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
101,17,21207,No,West,No,No,Yes,STEM,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Russian
106,18,21211,No,West,Yes,Yes,No,Nursing,Engineering,Swimming,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
109,20,21224,No,East,No,Yes,Yes,Camp Counselor,Pre-School Childcare,"Spanish & English Bilingual, Dancing",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
110,17,21214,No,East,No,Yes,Yes,Retail (17+ Year Old Only),Recreation And Sports,,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
112,17,21216,No,West,No,Yes,Yes,Government/Public Service,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
114,17,21228,No,South,No,No,No,Musical Arts,Auto Mechanics,"Spanish & English Bilingual, Plays an Intrustment, CADD (Computer Aided Drafting and Design), Office Equipment (i.e. copier, fax machine, scanner, etc.), Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
118,17,21213,No,East,Yes,No,No,Communication/Media,Recreation And Sports,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
120,19,21230,No,South,No,Yes,Yes,Nursing,Communication/Media,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
121,17,21228,No,South,No,Yes,Yes,Nursing,Hospitality/Travel,"Visual Arts (Drawing, painting, etc), Spoken Word or Poetry",INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
127,18,21216,No,West,No,Yes,No,Pre-School Childcare,Recreation And Sports,Spanish & English Bilingual,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
128,15,21223,No,West,No,No,No,Pre-School Childcare,Retail (17+ Year Old Only),"Visual Arts (Drawing, painting, etc), CADD (Computer Aided Drafting and Design)",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
129,16,21214,No,East,No,Yes,Yes,Pre-School Childcare,Nursing,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
132,18,21237,No,East,No,No,Yes,Clerical Office Work,Computer Information Tech,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
136,16,21214,No,East,No,No,No,Retail (17+ Year Old Only),Nursing,Dancing,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
137,16,21205,No,East,No,Yes,Yes,Graphic Design,Pre-School Childcare,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
141,16,21217,No,West,No,Yes,Yes,Nursing,Pre-School Childcare,,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
154,15,21215,No,West,No,Yes,Yes,Business/Finance,Electrical/Carpentry,"Plays an Intrustment, Visual Arts (Drawing, painting, etc)",NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
155,18,21212,No,East,No,Yes,Yes,Recreation And Sports,Architecture,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Spanish
156,17,21214,No,East,No,Yes,Yes,Legal,Recreation And Sports,Spanish & English Bilingual,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
163,19,21216,No,West,Yes,No,Yes,Nursing,Camp Counselor,Spanish & English Bilingual,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
164,19,21215,No,West,No,Yes,Yes,Nursing,Recreation And Sports,"Spanish & English Bilingual, Dancing",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
166,15,21237,No,East,No,Yes,Yes,Teacher's Aide,Culinary Arts/Food Service,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,
