REGISTRATION ID,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,SECOND LANGUAGE,SECOND LANGUAGE PROFICIENCY,SCHOOL NUMBER,SCHOOL STATUS,HIGHEST GRADE COMPLETED,PRIORITY MATCHING STATUS,
84124,18,21206,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CAMP COUNSELOR,RECREATION AND SPORTS,"SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,999,IN SCHOOL - HS OR LESS,GRADE 12,MANDATORY,
84128,17,21215,YES,"EAST, WEST, DOWNTOWN",NO,NO,NO,GRAPHIC DESIGN,CAMP COUNSELOR,SWIMMING;POETRY;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,362,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
84129,14,21202,YES,"EAST, DOWNTOWN",YES,YES,YES,CAMP COUNSELOR,RECREATION AND SPORTS,"VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,421,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84131,17,21223,YES,"WEST, DOWNTOWN",YES,NO,YES,ELDERLY SERVICES,COMPUTER INFORMATION TECH,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,400,IN SCHOOL - HS OR LESS,GRADE 10,MANDATORY,
84132,17,21215,YES,"EAST, WEST, DOWNTOWN",NO,YES,YES,NURSING,ELDERLY SERVICES,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
84134,17,21213,YES,"NORTH, EAST, DOWNTOWN",NO,YES,YES,CLERICAL OFFICE WORK,NURSING,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,407,IN SCHOOL - HS OR LESS,GRADE 12,PREFERRED,
84135,16,21223,YES,"WEST, DOWNTOWN, NORTH, SOUTH, EAST, SOUTHEAST",YES,YES,YES,CULINARY ARTS/FOOD SERVICE,COMPUTER INFORMATION TECH,OFFICE EQUIPMENT,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,400,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
84138,18,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,NO,COMMUNICATION/MEDIA,BUSINESS/FINANCE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,403,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
84140,18,21206,NO,,NO,YES,YES,RECREATION AND SPORTS,BUSINESS/FINANCE,"PLAYS INSTRUMENT;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,403,IN SCHOOL - HS OR LESS,GRADE 12,PREFERRED,
84143,18,21206,NO,,NO,YES,YES,CLERICAL OFFICE WORK,CLERICAL OFFICE WORK,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,410,IN SCHOOL - HS OR LESS,GRADE 12,PREFERRED,
84144,17,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,ARCHITECTURE,AUTO MECHANICS,"PLAYS INSTRUMENT;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - ALTERNATIVE SCHOOL,GRADE 12,NONE,
84146,14,21206,NO,EAST,NO,NO,NO,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,337,IN SCHOOL - HS OR LESS,GRADE 7,NONE,
84147,18,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,COMMUNICATION/MEDIA,BUSINESS/FINANCE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,407,IN SCHOOL - POST HS,GRADE 12,NONE,
84149,15,21223,YES,"WEST, DOWNTOWN, SOUTH",YES,NO,YES,ENVIRONMENTAL/GREEN,COMPUTER INFORMATION TECH,,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,406,IN SCHOOL - HS OR LESS,GRADE 10,MANDATORY,
84153,15,21239,YES,"NORTH, EAST, DOWNTOWN",NO,YES,YES,COMMUNICATION/MEDIA,GOVERNMENT/PUBLIC SERVICE,"SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,349,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84154,14,21206,YES,"EAST, DOWNTOWN",YES,YES,YES,ARCHITECTURE,GRAPHIC DESIGN,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,337,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84155,17,21215,YES,"EAST, WEST, DOWNTOWN",NO,YES,NO,PRE-SCHOOL CHILDCARE,CAMP COUNSELOR,"PLAYS INSTRUMENT;VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,407,IN SCHOOL - HS OR LESS,GRADE 11,MANDATORY,
84156,16,21223,NO,,YES,YES,YES,NURSING,BUSINESS/FINANCE,"VISUAL ARTS;CADD;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - HS OR LESS,GRADE 10,PREFERRED,
84157,16,21239,YES,EAST,YES,YES,YES,BUSINESS/FINANCE,AUTO MECHANICS,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;CADD;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),410,IN SCHOOL - HS OR LESS,GRADE 10,MANDATORY,
84158,14,21206,YES,"EAST, DOWNTOWN",YES,YES,YES,MUSICAL ARTS,STEM,SWIMMING;CADD;DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,15,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84159,17,21215,YES,"NORTH, DOWNTOWN, WEST",NO,YES,NO,CAMP COUNSELOR,HOSPITALITY/TRAVEL,VISUAL ARTS;SWIMMING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,450,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
84162,17,21215,YES,"NORTH, EAST, WEST, DOWNTOWN",NO,YES,NO,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),PRE-SCHOOL CHILDCARE,DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,414,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
84163,18,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,COMPUTER INFORMATION TECH,CLERICAL OFFICE WORK,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,480,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
84165,17,21223,NO,,NO,NO,NO,TEACHER'S AIDE,CUSTODIAL,,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,422,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
84167,14,21239,YES,"NORTH, EAST, DOWNTOWN",NO,YES,YES,PRE-SCHOOL CHILDCARE,CLERICAL OFFICE WORK,SWIMMING;OFFICE EQUIPMENT;POETRY;DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,382,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84168,14,21239,YES,"NORTH, EAST, DOWNTOWN",YES,YES,YES,AUTO MECHANICS,COMPUTER INFORMATION TECH,OFFICE EQUIPMENT,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,15,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
84169,14,21239,YES,"NORTH, EAST, WEST",NO,YES,YES,VISUAL ARTS,CAMP COUNSELOR,"VISUAL ARTS;SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),233,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84170,14,21239,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,GOVERNMENT/PUBLIC SERVICE,RECREATION AND SPORTS,"VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),326,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
84171,16,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CONSTRUCTION/MANUFACTURING,AUTO MECHANICS,OFFICE EQUIPMENT,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,377,IN SCHOOL - HS OR LESS,GRADE 10,PREFERRED,
84172,14,21234,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,CLERICAL OFFICE WORK,PRE-SCHOOL CHILDCARE,"VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),373,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84173,14,21202,YES,"EAST, DOWNTOWN",YES,YES,NO,CUSTODIAL,CAMP COUNSELOR,SWIMMING;OFFICE EQUIPMENT,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,357,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84174,17,21215,YES,"NORTH, EAST, WEST, DOWNTOWN",NO,YES,NO,CUSTODIAL,ENVIRONMENTAL/GREEN,PLAYS INSTRUMENT,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,432,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
84175,17,21215,YES,"NORTH, SOUTH, EAST, SOUTHEAST, DOWNTOWN",NO,YES,NO,BUSINESS/FINANCE,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),"(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
84176,14,21239,YES,"NORTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,CLERICAL OFFICE WORK,CULINARY ARTS/FOOD SERVICE,DANCING,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,999,IN SCHOOL - ALTERNATIVE SCHOOL,GRADE 8,MANDATORY,
84177,17,21213,YES,"NORTH, EAST, DOWNTOWN",YES,YES,YES,CULINARY ARTS/FOOD SERVICE,GOVERNMENT/PUBLIC SERVICE,"CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,0,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
84179,18,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,ELDERLY SERVICES,BUSINESS/FINANCE,"VISUAL ARTS;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,403,IN SCHOOL - HS OR LESS,GRADE 12,MANDATORY,
84180,15,21239,YES,"NORTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,NURSING,CAMP COUNSELOR,SWIMMING;OFFICE EQUIPMENT,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,375,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84181,14,21206,YES,"EAST, DOWNTOWN",NO,YES,NO,PRE-SCHOOL CHILDCARE,TEACHER'S AIDE,"(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,337,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
84182,16,21223,NO,,NO,NO,YES,MUSICAL ARTS,MUSICAL ARTS,"VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,377,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
84183,18,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,PRE-SCHOOL CHILDCARE,ELDERLY SERVICES,"VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,858,IN SCHOOL - ALTERNATIVE SCHOOL,GRADE 12,NONE,
84184,14,21206,YES,"EAST, DOWNTOWN",YES,YES,YES,RECREATION AND SPORTS,COMPUTER INFORMATION TECH,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,347,IN SCHOOL - HS OR LESS,GRADE 8,MANDATORY,
84185,17,21223,YES,DOWNTOWN,YES,NO,NO,PRE-SCHOOL CHILDCARE,NURSING,"(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,454,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
84186,14,21206,YES,"EAST, DOWNTOWN",YES,YES,NO,NURSING,CLERICAL OFFICE WORK,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,373,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
84192,14,21234,YES,EAST,NO,YES,NO,TEACHER'S AIDE,NURSING,"PLAYS INSTRUMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,3.ADVANCED (AP/COLLEGE CLASSES OR NATIVE SPEAKER),407,IN SCHOOL - HS OR LESS,GRADE 9,MANDATORY,
