POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G
95085937,12,2,3,12,16-21,21225,SOUTH,YES,YES,YES,"COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,
COMMUNITY SERVICE,
CAMP COUNSELOR,","PLAYS INSTRUMENT,VISUAL ARTS,SWIMMING,OFFICE EQUIPMENT,MICROSOFT,POETRY,DANCING,CADD",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
31461308,3,1,2,12,16-21,21215,WEST,NO,NO,NO,"CONSTRUCTION/MANUFACTURING,
CULINARY ARTS/FOOD SERVICE,
ELECTRICAL/CARPENTRY,
HOSPITALITY/TRAVEL,
CLERICAL OFFICE WORK,
RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),
STEM,
VISUAL ARTS,
TEACHER'S AIDE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
95724048,3,0,2,12,16-21,21206,WEST,NO,YES,YES,"ELECTRICAL/CARPENTRY,",OFFICE EQUIPMENT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
19822234,7,0,1,12,16-21,21213,NORTH,YES,YES,NO,"GOVERNMENT/PUBLIC SERVICE,",,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,NOT APPLICABLE,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES
39096074,10,0,6,12,18-21,21211,EAST,NO,NO,NO,"ARCHITECTURE,
AUTO MECHANICS,
BUSINESS/FINANCE,
COMMUNICATION/MEDIA,
COMPUTER INFORMATION TECH,
CONSTRUCTION/MANUFACTURING,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
ELECTRICAL/CARPENTRY,
ELDERLY SERVICES,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
HOSPITALITY/TRAVEL,
LEGAL,
NURSING,
CLERICAL OFFICE WORK,
PORT OR MARITIME INDUSTRY,
RECREATION AND SPORTS,
RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),
COMMUNITY SERVICE,
MUSICAL ARTS,
GRAPHIC DESIGN,
CAMP COUNSELOR,
PRE-SCHOOL CHILDCARE,","PLAYS INSTRUMENT,VISUAL ARTS,SWIMMING",MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES
48987465,1,0,1,12,18-21,21231,DOWNTOWN,YES,YES,YES,"COMPUTER INFORMATION TECH,
COMMUNITY SERVICE,",PLAYS INSTRUMENT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
36430802,0,0,2,12,18-21,21216,DOWNTOWN,NO,YES,YES,"CONSTRUCTION/MANUFACTURING,","VISUAL ARTS,SWIMMING,OFFICE EQUIPMENT,MICROSOFT",MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES
40880162,23,1,10,12,18-21,21218,SOUTH,NO,YES,YES,"CUSTODIAL,","PLAYS INSTRUMENT,VISUAL ARTS,SWIMMING,OFFICE EQUIPMENT,MICROSOFT,POETRY,DANCING,CADD",MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
