POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
25,6,1,5,16,16-17,21212,EAST,NO,YES,NO,"ENVIRONMENTAL/GREEN,
CONSTRUCTION/MANUFACTURING,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
26,5,0,0,14,14-15,21205,EAST,NO,NO,NO,"TEACHER'S AIDE,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
27,8,0,4,15,16-17,21216,WEST,NO,NO,NO,"CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
28,3,1,2,18,18-21,21204,EAST,YES,NO,NO,"RECREATION AND SPORTS,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
29,9,4,2,17,16-21,21229,WEST,NO,NO,YES,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
30,9,5,5,14,14-15,21206,EAST,YES,NO,NO,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
COMMUNICATION/MEDIA,
GRAPHIC DESIGN,",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
31,13,1,11,15,16-21,21217,WEST,NO,NO,YES,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
32,4,2,2,17,16-21,21212,EAST,YES,YES,NO,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
CLERICAL OFFICE WORK,","PLAYS INSTRUMENT, OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
33,10,0,3,18,18-21,21223,WEST,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
STEM,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
34,7,4,1,16,16-17,21206,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
CUSTODIAL,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
35,1,0,0,16,16-21,21163,WEST,NO,NO,YES,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
NURSING,
GOVERNMENT/PUBLIC SERVICE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
LEGAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
36,9,4,0,19,18-21,21229,WEST,NO,NO,NO,"CAMP COUNSELOR,
COMMUNITY SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
37,9,4,5,16,16-21,21201,DOWNTOWN,YES,YES,YES,"RECREATION AND SPORTS,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
38,7,0,2,16,16-17,21201,DOWNTOWN,NO,NO,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
CUSTODIAL,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
39,10,1,4,16,16-17,21229,WEST,NO,YES,YES,"VISUAL ARTS,
NURSING,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
40,2,0,1,18,18-21,21163,WEST,YES,NO,NO,"RECREATION AND SPORTS,",DANCING,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
41,15,3,9,16,16-17,21201,DOWNTOWN,NO,NO,NO,"CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
42,11,0,6,14,14-15,21201,DOWNTOWN,NO,NO,YES,"TEACHER'S AIDE,
BUSINESS/FINANCE,
COMPUTER INFORMATION TECH,
STEM,
AUTO MECHANICS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
43,1,0,1,14,14-21,21220,EAST,NO,NO,YES,"COMPUTER INFORMATION TECH,
STEM,
LEGAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
44,8,2,2,18,18-21,21215,WEST,NO,NO,NO,"BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
CULINARY ARTS/FOOD SERVICE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
45,4,0,3,17,16-17,21203,DOWNTOWN,NO,YES,YES,"MUSICAL ARTS,
TEACHER'S AIDE,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
46,11,0,2,18,18-21,21201,DOWNTOWN,YES,NO,NO,"GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
47,3,0,2,14,14-21,21214,EAST,NO,YES,YES,"COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
48,1,0,1,18,18-21,21163,WEST,NO,NO,NO,"RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,",DANCING,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
49,14,2,1,16,16-17,21209,NORTH,NO,NO,YES,"VISUAL ARTS,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
50,17,11,6,14,14-21,21216,WEST,NO,NO,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
CONSTRUCTION/MANUFACTURING,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
51,6,2,4,15,16-17,21203,DOWNTOWN,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
GOVERNMENT/PUBLIC SERVICE,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
52,1,1,1,18,18-21,21220,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
NURSING,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
53,8,2,2,14,14-15,21217,WEST,NO,NO,NO,"MUSICAL ARTS,
RECREATION AND SPORTS,
CULINARY ARTS/FOOD SERVICE,
ELDERLY SERVICES,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
54,2,0,1,14,14-15,21203,DOWNTOWN,NO,NO,NO,"COMMUNITY SERVICE,
STEM,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
55,6,1,1,16,16-21,21201,DOWNTOWN,NO,YES,NO,"PRE-SCHOOL CHILDCARE,
COMMUNITY SERVICE,
CONSTRUCTION/MANUFACTURING,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
56,6,1,5,16,16-17,21214,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
57,11,1,5,14,14-21,21201,DOWNTOWN,NO,NO,NO,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
58,1,0,0,14,14-21,21163,WEST,NO,NO,NO,"MUSICAL ARTS,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
59,6,4,1,18,18-21,21214,EAST,NO,NO,NO,"CAMP COUNSELOR,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
60,9,1,3,14,14-15,21217,WEST,NO,YES,NO,"ENVIRONMENTAL/GREEN,
CULINARY ARTS/FOOD SERVICE,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
61,6,2,2,15,16-21,21223,WEST,NO,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
NURSING,
CONSTRUCTION/MANUFACTURING,
HOSPITALITY/TRAVEL,
GRAPHIC DESIGN,
ELECTRICAL/CARPENTRY,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
62,3,1,2,14,14-15,21225,SOUTH,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
63,2,0,1,18,18-21,21220,EAST,NO,NO,YES,"GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
STEM,
LEGAL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
64,1,1,0,14,14-21,21250,SOUTH,NO,NO,NO,"RECREATION AND SPORTS,
COMMUNITY SERVICE,
CUSTODIAL,
STEM,
HOSPITALITY/TRAVEL,
GRAPHIC DESIGN,",SWIMMING,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
65,2,0,2,18,18-21,21214,EAST,NO,YES,YES,"COMMUNITY SERVICE,
STEM,
CLERICAL OFFICE WORK,
ELECTRICAL/CARPENTRY,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
66,8,1,1,18,18-21,20705,SOUTH,YES,YES,YES,"PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
CLERICAL OFFICE WORK,
LEGAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
67,8,0,5,16,16-17,21215,WEST,NO,YES,NO,"VISUAL ARTS,
CLERICAL OFFICE WORK,
ELECTRICAL/CARPENTRY,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
68,2,0,1,18,18-21,21220,EAST,NO,NO,NO,"RECREATION AND SPORTS,
BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
69,3,0,1,14,14-21,21216,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
70,3,0,1,18,18-21,21203,DOWNTOWN,NO,NO,YES,"COMPUTER INFORMATION TECH,
STEM,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
71,3,2,2,14,14-15,21214,EAST,NO,YES,NO,"CUSTODIAL,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
