Worksite ID,Minimum Age,Maximum Age,Zip,Youth Requested,Side of City,Working Outside,Dress Code,With Computers,Career Interests,Skills,Job Choice 1,2nd Language
28,18,20,21204,3,Outside City (East),Yes,No,No,Recreation And Sports,,B,
29,17,20,21229,9,West,No,No,Yes,"Camp Counselor
Environmental/Green
Community Service
Computer Information Tech",,C,
30,14,17,21206,9,East,Yes,No,No,"Musical Arts
Pre-School Childcare
Recreation And Sports
Communication/Media
Graphic Design","Visual Arts (Drawing, painting, etc)",F,
31,15,21,21217,13,West,No,No,Yes,"Musical Arts
Pre-School Childcare
Business/Finance
Government/Public Service
Culinary Arts/Food Service
Computer Information Tech
Custodial",Plays an Instrument,H,
32,17,21,21212,4,East,Yes,Yes,No,"Musical Arts
Pre-School Childcare
Clerical Office Work","Plays an Instrument
Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
33,18,21,21223,10,West,No,No,No,"Government/Public Service
Custodial
Engineering
Retail (17+ Year Old Only)",,D,
34,16,15,21206,7,East,No,No,No,"Environmental/Green
Custodial",,A,
35,16,21,21163,1,Outside City (West),No,No,Yes,"Musical Arts
Pre-School Childcare
Nursing
Government/Public Service
Culinary Arts/Food Service
Computer Information Tech
Legal",,E,
36,19,21,21229,9,West,No,No,No,"Camp Counselor
Community Service
Custodial",,E,
37,16,21,21201,9,Downtown,Yes,Yes,Yes,"Recreation And Sports
Government/Public Service
Community Service
Computer Information Tech
Custodial
Communication/Media
Clerical Office Work","Microsoft Word, Powerpoint, Excel",E,
38,16,17,21201,7,Downtown,No,No,No,"Recreation And Sports
Teacher's Aide
Environmental/Green
Custodial
Engineering",,F,
39,16,17,21229,10,West,No,Yes,Yes,"Visual Arts
Nursing
Communication/Media",,B,
40,18,21,21163,2,Outside City (West),Yes,No,No,Recreation And Sports,Dancing,E,
41,16,18,21201,15,Downtown,No,No,No,"Culinary Arts/Food Service
Custodial
Construction Trades",,B,
42,14,15,21201,11,Downtown,No,No,Yes,"Teacher's Aide
Business/Finance
Computer Information Tech
Engineering
Auto Mechanics",,F,
43,14,19,21220,1,Outside City (East),No,No,Yes,"Computer Information Tech
STEM
Legal",,D,
44,18,20,21215,8,West,No,No,No,"Business/Finance
Government/Public Service
Culinary Arts/Food Service",,A,
45,17,18,21203,4,Downtown,No,Yes,Yes,"Musical Arts
Teacher's Aide
Business/Finance
Government/Public Service
Custodial
Clerical Office Work","Microsoft Word, Powerpoint, Excel",F,
46,18,20,21201,11,Downtown,Yes,No,No,Graphic Design,,G,
47,14,19,21214,3,East,No,Yes,Yes,"Community Service
Culinary Arts/Food Service
Clerical Office Work","Microsoft Word, Powerpoint, Excel",E,
48,18,21,21163,1,Outside City (West),No,No,No,"Recreation And Sports
Environmental/Green",Dancing,C,
49,16,17,21209,14,North,No,No,Yes,"Visual Arts
Computer Information Tech",,E,
50,14,18,21216,17,West,No,No,No,"Teacher's Aide
Camp Counselor
Business/Finance
Environmental/Green
Construction Trades","Microsoft Word, Powerpoint, Excel",F,
51,15,18,21203,6,Downtown,No,No,No,"Pre-School Childcare
Government/Public Service","Microsoft Word, Powerpoint, Excel",B,
52,18,21,21220,1,Outside City (East),No,No,No,"Environmental/Green
Nursing",,F,
53,14,15,21217,8,West,No,No,No,"Musical Arts
Recreation And Sports
Culinary Arts/Food Service
Elderly Services","Microsoft Word, Powerpoint, Excel",F,
54,14,16,21203,2,Downtown,No,No,No,"Community Service
Engineering",,B,
55,16,20,21201,6,Downtown,No,Yes,No,"Pre-School Childcare
Community Service
Construction Trades
Clerical Office Work","Microsoft Word, Powerpoint, Excel",E,
56,16,18,21214,6,East,No,No,No,Environmental/Green,,C,
57,14,19,21201,11,Downtown,No,No,No,"Musical Arts
Pre-School Childcare
Government/Public Service
Community Service
Custodial
Communication/Media
STEM",,C,
58,14,21,21163,1,Outside City (West),No,No,No,"Musical Arts
Custodial",,H,
59,18,21,21214,6,East,No,No,No,Camp Counselor,,B,
60,14,16,21217,9,West,No,Yes,No,"Environmental/Green
Culinary Arts/Food Service
Clerical Office Work
Hospitality/Travel","Microsoft Word, Powerpoint, Excel",H,
61,15,19,21223,6,West,No,No,No,"Recreation And Sports
Camp Counselor
Nursing
Construction Trades
Hospitality/Travel
Graphic Design
Electrical/Carpentry",,C,
62,14,13,21225,3,South,No,No,No,Government/Public Service,,E,
63,18,21,21220,2,Outside City (East),No,No,Yes,"Government/Public Service
Computer Information Tech
STEM
Legal",,C,
64,14,19,21250,1,Outside City (South),No,No,No,"Recreation And Sports
Community Service
Custodial
STEM
Hospitality/Travel
Graphic Design",Swimming,E,
65,18,21,21214,2,East,No,Yes,Yes,"Community Service
Engineering
Clerical Office Work
Electrical/Carpentry","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
66,18,19,20705,8,Outside City (South),Yes,Yes,Yes,"Pre-School Childcare
Teacher's Aide
Environmental/Green
Clerical Office Work
Legal",,H,
67,16,17,21215,8,West,No,Yes,No,"Visual Arts
Clerical Office Work
Electrical/Carpentry","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,Russian
68,18,21,21220,2,Outside City (East),No,No,No,"Recreation And Sports
Business/Finance",,H,
69,14,19,21216,3,West,No,No,No,"Pre-School Childcare
Camp Counselor
Community Service
Communication/Media",,B,
70,18,20,21203,3,Downtown,No,No,Yes,"Computer Information Tech
Engineering
Communication/Media",,C,
71,14,15,21214,3,East,No,Yes,No,Custodial,,A,
72,16,21,21213,11,East,No,No,No,"Musical Arts
Environmental/Green
Government/Public Service
Community Service",,C,
73,16,18,21163,1,Outside City (West),No,No,Yes,"Visual Arts
Pre-School Childcare
Camp Counselor
Government/Public Service
Computer Information Tech
Custodial
Construction Trades",,D,
74,17,18,21229,5,West,No,No,Yes,"Camp Counselor
Computer Information Tech
Custodial
Engineering",,A,
75,16,19,21217,10,West,No,Yes,No,Clerical Office Work,"Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",F,
76,16,17,21216,9,West,No,No,No,Environmental/Green,,B,
77,16,21,21163,1,Outside City (West),No,No,No,"Recreation And Sports
Environmental/Green",,G,
78,14,15,21223,5,West,No,No,No,Recreation And Sports,,H,
79,16,21,21205,10,East,No,Yes,No,"Recreation And Sports
Teacher's Aide
Manufacturing",,B,
80,14,17,21201,9,Downtown,No,No,No,"Musical Arts
Pre-School Childcare
Custodial
Communication/Media",Plays an Instrument,F,
81,16,18,21212,8,East,No,Yes,No,"Community Service
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",C,
82,18,19,21212,7,East,No,No,Yes,"Visual Arts
Community Service
Computer Information Tech
Communication/Media","Microsoft Word, Powerpoint, Excel",G,
83,18,21,21220,2,Outside City (East),Yes,Yes,Yes,"Recreation And Sports
Government/Public Service
Clerical Office Work
Legal
Architecture","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel
Dancing",G,
84,16,17,21201,11,Downtown,No,Yes,No,"Pre-School Childcare
Camp Counselor
Clerical Office Work","Microsoft Word, Powerpoint, Excel",C,
85,17,18,21214,5,East,No,No,No,"Environmental/Green
Communication/Media",,G,
86,14,17,21210,5,North,No,No,No,Government/Public Service,,H,
87,16,19,21228,29,South,No,Yes,No,"Teacher's Aide
Clerical Office Work
Graphic Design","Visual Arts (Drawing, painting, etc)
Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
88,16,21,21207,10,West,Yes,No,Yes,"Musical Arts
Recreation And Sports
Culinary Arts/Food Service
Computer Information Tech",,G,
89,16,19,21163,2,Outside City (West),No,No,No,Custodial,,G,
90,15,20,21237,8,East,No,No,No,"Recreation And Sports
Camp Counselor
Environmental/Green
Legal",,G,
91,17,19,21210,4,North,No,Yes,Yes,"Business/Finance
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",D,
92,16,20,21216,13,West,No,No,No,"Teacher's Aide
Camp Counselor
Business/Finance
Environmental/Green
Construction Trades",,D,
93,14,19,21212,2,East,Yes,Yes,Yes,"Recreation And Sports
Camp Counselor
Business/Finance
Nursing
Culinary Arts/Food Service
Computer Information Tech
Clerical Office Work","Microsoft Word, Powerpoint, Excel",E,
94,16,15,21163,1,Outside City (West),No,Yes,Yes,Construction Trades,,A,
95,16,17,21229,12,West,No,Yes,No,"Pre-School Childcare
Clerical Office Work
Retail (17+ Year Old Only)","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
96,15,19,21216,10,West,No,No,No,"Recreation And Sports
Teacher's Aide
Community Service
Graphic Design",Swimming,B,
97,16,19,21206,5,East,No,Yes,No,"Teacher's Aide
Clerical Office Work
Hospitality/Travel
Elderly Services","Microsoft Word, Powerpoint, Excel",A,
98,18,20,21214,7,East,No,No,No,Recreation And Sports,,E,
99,14,19,21228,25,South,No,No,No,"Pre-School Childcare
Culinary Arts/Food Service
Communication/Media",,C,
100,16,21,21216,13,West,No,Yes,No,"Pre-School Childcare
Recreation And Sports
Camp Counselor
Environmental/Green
Nursing
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",F,
101,14,21,21163,2,Outside City (West),No,Yes,Yes,"Camp Counselor
Communication/Media",,D,
102,16,18,21228,28,South,No,Yes,Yes,"Pre-School Childcare
Camp Counselor
Community Service
Custodial
Clerical Office Work",,E,
103,14,15,21201,5,Downtown,No,No,No,"Musical Arts
Community Service",Plays an Instrument,D,
104,14,16,21216,15,West,Yes,No,No,"Environmental/Green
Community Service",,F,
105,18,19,21229,10,West,No,No,No,"Visual Arts
Business/Finance
Communication/Media
STEM",Spoken Word or Poetry,E,
106,16,21,21204,3,Outside City (East),No,No,No,"Visual Arts
Musical Arts
Custodial
Communication/Media",,A,
107,14,21,21216,10,West,No,No,Yes,"Recreation And Sports
Computer Information Tech
Hospitality/Travel","Microsoft Word, Powerpoint, Excel",F,
108,14,18,21224,11,East,Yes,Yes,Yes,"Recreation And Sports
Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
109,16,20,21216,9,West,No,No,No,"Musical Arts
Teacher's Aide
Camp Counselor
Business/Finance
Culinary Arts/Food Service",,F,
110,14,16,21163,2,Outside City (West),No,No,No,"Visual Arts
Camp Counselor
STEM",,A,
111,15,16,21163,1,Outside City (West),No,No,No,"Community Service
Hospitality/Travel",,C,
112,16,18,21220,1,Outside City (East),No,No,Yes,"Computer Information Tech
Custodial",,D,
113,14,20,21228,19,South,No,No,No,"Custodial
Hospitality/Travel",,F,
114,14,18,21215,9,West,No,Yes,Yes,"Musical Arts
Pre-School Childcare
Camp Counselor
Community Service
Culinary Arts/Food Service
Graphic Design",,A,
115,14,17,21228,24,South,Yes,Yes,No,"Pre-School Childcare
Government/Public Service
Custodial
Engineering
Clerical Office Work
Architecture
Elderly Services","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",D,
116,14,18,21201,8,Downtown,No,Yes,Yes,"Business/Finance
Government/Public Service
Community Service",,F,
117,16,21,21223,5,West,No,Yes,Yes,"Recreation And Sports
Community Service
Construction Trades
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",C,
118,14,21,21201,8,Downtown,No,No,No,Community Service,,E,
119,18,20,21220,1,Outside City (East),No,No,No,"Environmental/Green
Custodial",,E,
120,14,20,21220,2,Outside City (East),No,Yes,Yes,"Musical Arts
Recreation And Sports
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
121,14,17,21214,4,East,No,Yes,Yes,"Visual Arts
Musical Arts
Camp Counselor
Business/Finance
Community Service",Plays an Instrument,F,
122,14,13,21204,2,Outside City (East),No,No,No,"Pre-School Childcare
Government/Public Service
Custodial",,H,
123,16,19,21227,1,South,No,Yes,No,Visual Arts,,G,
124,16,19,21207,7,West,No,No,Yes,"Visual Arts
Camp Counselor
Computer Information Tech",,D,
125,14,19,21203,2,Downtown,Yes,No,No,"Visual Arts
Recreation And Sports
Communication/Media",,D,
126,16,15,21205,11,East,No,No,No,"Camp Counselor
Custodial",,D,
127,16,20,21163,1,Outside City (West),No,No,No,"Teacher's Aide
Government/Public Service
Elderly Services",,A,
128,14,19,21220,3,Outside City (East),No,No,Yes,"Pre-School Childcare
Business/Finance
Computer Information Tech",,D,
129,16,17,21163,1,Outside City (West),No,Yes,Yes,"Nursing
Clerical Office Work
Architecture","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
130,15,18,21212,7,East,No,No,No,Custodial,,C,
131,16,19,21202,6,Downtown,No,No,No,"Teacher's Aide
Camp Counselor
Construction Trades
Elderly Services",,B,
132,16,20,21163,1,Outside City (West),No,No,No,"Visual Arts
Teacher's Aide
Environmental/Green
Community Service",,E,
133,15,16,21201,9,Downtown,No,No,No,Custodial,,H,
134,14,17,21237,10,East,No,No,No,"Visual Arts
Community Service
Construction Trades
Legal",,H,
135,15,17,21216,11,West,No,No,No,"Visual Arts
Custodial","Visual Arts (Drawing, painting, etc)
Microsoft Word, Powerpoint, Excel",F,
136,15,18,20705,3,Outside City (South),No,No,No,"Musical Arts
Recreation And Sports
Government/Public Service
Culinary Arts/Food Service
Custodial
Retail (17+ Year Old Only)",,H,
137,16,20,21214,6,East,No,No,Yes,"Visual Arts
Community Service
Computer Information Tech",,F,
138,18,20,21230,5,South,No,No,No,"Visual Arts
Recreation And Sports
Business/Finance
STEM
Architecture","Visual Arts (Drawing, painting, etc)",B,
139,14,17,21201,14,Downtown,No,No,No,"Musical Arts
Camp Counselor
Community Service",,D,
140,16,21,21216,3,West,No,No,Yes,"Pre-School Childcare
Computer Information Tech
Engineering
Hospitality/Travel","Microsoft Word, Powerpoint, Excel",A,
141,21,21,21201,11,Downtown,No,Yes,Yes,"Community Service
Computer Information Tech
Clerical Office Work","CADD (Computer Aided Drafting and Design)
Microsoft Word, Powerpoint, Excel",D,
142,16,20,21229,16,West,No,No,No,"Culinary Arts/Food Service
Custodial
STEM
Legal","Microsoft Word, Powerpoint, Excel",B,
143,16,15,21210,3,North,Yes,No,No,Environmental/Green,,G,
144,14,16,21201,5,Downtown,No,No,No,"Camp Counselor
Nursing
Community Service
Custodial",,E,
145,18,20,21220,1,Outside City (East),Yes,Yes,Yes,Clerical Office Work,"Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,Urdu
146,16,19,21163,1,Outside City (West),Yes,No,No,"Recreation And Sports
Government/Public Service
Elderly Services",,C,
147,14,20,21214,4,East,No,Yes,No,"Community Service
Engineering
Communication/Media
STEM
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)",C,
148,16,20,21229,7,West,No,No,No,"Visual Arts
Teacher's Aide",,C,
149,16,19,21203,6,Downtown,No,No,No,"Recreation And Sports
Community Service
Culinary Arts/Food Service
Custodial
Construction Trades",,G,
150,14,19,21216,11,West,No,Yes,No,"Visual Arts
Nursing
Government/Public Service
Community Service
Communication/Media
Graphic Design","Visual Arts (Drawing, painting, etc)
Microsoft Word, Powerpoint, Excel
Spoken Word or Poetry",D,
151,16,19,21163,1,Outside City (West),No,No,No,Camp Counselor,,G,
152,16,17,21204,4,Outside City (East),Yes,No,No,"Recreation And Sports
Teacher's Aide
Government/Public Service
Custodial",,C,
153,16,19,21214,4,East,No,Yes,Yes,"Visual Arts
Recreation And Sports",,B,
154,14,18,21220,1,Outside City (East),No,No,No,"Pre-School Childcare
Recreation And Sports
Government/Public Service",,A,
155,14,17,21163,1,Outside City (West),No,No,No,"Visual Arts
Teacher's Aide
Custodial",,H,
156,18,17,21163,2,Outside City (West),No,No,No,Community Service,,A,
157,16,19,21203,8,Downtown,No,Yes,Yes,Pre-School Childcare,,G,
158,18,20,21212,4,East,Yes,Yes,Yes,"Pre-School Childcare
Environmental/Green
Community Service
Custodial
Clerical Office Work
Retail (17+ Year Old Only)","Microsoft Word, Powerpoint, Excel",C,
159,16,19,21201,8,Downtown,No,No,No,"Teacher's Aide
Electrical/Carpentry","Microsoft Word, Powerpoint, Excel",B,
160,16,20,21214,4,East,Yes,Yes,No,"Visual Arts
Business/Finance
Environmental/Green
Communication/Media
Clerical Office Work
Elderly Services","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
161,18,21,21203,1,Downtown,Yes,No,No,"Business/Finance
Environmental/Green
Community Service","Microsoft Word, Powerpoint, Excel",D,
162,15,19,21214,5,East,Yes,No,No,"Camp Counselor
Environmental/Green
Nursing
Custodial
Communication/Media
Graphic Design",,F,
163,16,18,21223,7,West,No,No,No,"Community Service
Custodial
Hospitality/Travel
Retail (17+ Year Old Only)",,F,
164,17,21,21205,9,East,No,No,No,"Environmental/Green
Custodial
Communication/Media",,E,
165,16,20,21234,4,East,No,Yes,Yes,"Teacher's Aide
Business/Finance
Government/Public Service
Clerical Office Work
Legal","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
166,16,19,21214,3,East,No,No,Yes,"Musical Arts
Business/Finance
Environmental/Green
Government/Public Service
Computer Information Tech",,B,
167,14,19,21237,12,East,No,Yes,Yes,"Pre-School Childcare
Camp Counselor
Community Service
Culinary Arts/Food Service
Computer Information Tech
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",F,
168,17,19,21163,1,Outside City (West),No,No,No,Pre-School Childcare,,C,
169,16,20,21228,21,South,No,No,No,Recreation And Sports,,D,
170,19,21,21212,11,East,No,No,No,"Visual Arts
Architecture",,E,
171,14,18,21224,5,East,No,Yes,Yes,"Business/Finance
Construction Trades
STEM
Clerical Office Work
Elderly Services","Microsoft Word, Powerpoint, Excel",F,
172,16,17,21229,5,West,No,Yes,Yes,"Visual Arts
Camp Counselor
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
173,14,13,21206,7,East,No,No,Yes,"Musical Arts
Recreation And Sports
Teacher's Aide
Community Service
Computer Information Tech
Construction Trades
Communication/Media",Dancing,B,
174,16,19,21215,6,West,Yes,No,No,Government/Public Service,,D,
175,14,16,21203,8,Downtown,Yes,No,No,"Pre-School Childcare
Recreation And Sports
Nursing
Custodial",,D,
176,15,21,21223,4,West,No,No,No,"Musical Arts
Camp Counselor
Community Service
Communication/Media",,D,
177,15,16,21210,4,North,No,No,No,Community Service,,G,
178,15,16,21208,14,North,No,No,No,"Musical Arts
Camp Counselor
Environmental/Green",,D,
179,16,20,21237,7,East,No,No,No,Teacher's Aide,,C,
180,18,21,21078,1,Outside City (East),No,Yes,Yes,"Environmental/Green
Custodial
Legal
Architecture",,B,
181,14,15,21228,31,South,No,No,No,Teacher's Aide,"Microsoft Word, Powerpoint, Excel",B,
182,14,21,21229,6,West,No,Yes,No,"Pre-School Childcare
Camp Counselor
Environmental/Green
Government/Public Service
Engineering
Clerical Office Work
Retail (17+ Year Old Only)","Microsoft Word, Powerpoint, Excel",A,
183,14,18,21201,7,Downtown,No,Yes,Yes,"Visual Arts
Recreation And Sports
STEM
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
184,14,18,21205,6,East,Yes,No,No,"Visual Arts
Teacher's Aide
Environmental/Green
Custodial
Elderly Services","Visual Arts (Drawing, painting, etc)",H,
185,14,13,21163,1,Outside City (West),No,No,No,"Pre-School Childcare
Hospitality/Travel
Electrical/Carpentry",,D,
186,16,20,21163,1,Outside City (West),No,No,No,"Pre-School Childcare
Camp Counselor
Environmental/Green
Custodial",,H,
187,18,19,21217,10,West,No,No,Yes,"Visual Arts
Pre-School Childcare
Camp Counselor
Computer Information Tech
Hospitality/Travel",,B,
188,18,21,21229,8,West,No,Yes,Yes,"Visual Arts
Community Service
Culinary Arts/Food Service
Construction Trades
Hospitality/Travel","Visual Arts (Drawing, painting, etc)",D,
189,16,20,21229,12,West,No,Yes,No,"Government/Public Service
Custodial
Clerical Office Work
Architecture","Microsoft Word, Powerpoint, Excel",H,
190,16,21,21211,6,West,Yes,No,No,"Recreation And Sports
Environmental/Green
Culinary Arts/Food Service",,H,
191,15,19,21214,6,East,No,No,No,"Musical Arts
Engineering",,H,Korean
192,16,19,21201,10,Downtown,No,No,No,"Visual Arts
Community Service
Legal",,G,
193,14,17,21205,8,East,No,No,No,"Pre-School Childcare
Camp Counselor
Hospitality/Travel",,F,
194,16,21,21220,1,Outside City (East),Yes,Yes,No,"Camp Counselor
Environmental/Green
Government/Public Service
Communication/Media
Clerical Office Work
Retail (17+ Year Old Only)","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
195,14,15,21201,7,Downtown,No,No,No,"Musical Arts
Teacher's Aide
Environmental/Green","Microsoft Word, Powerpoint, Excel",G,
196,16,18,21201,10,Downtown,No,No,No,Camp Counselor,"Microsoft Word, Powerpoint, Excel",C,
197,14,18,21104,32,Outside City (West),No,No,No,Teacher's Aide,,A,
198,14,17,21216,7,West,Yes,No,No,"Musical Arts
Recreation And Sports
Retail (17+ Year Old Only)",,H,
199,18,19,21224,8,East,Yes,Yes,Yes,"Musical Arts
Pre-School Childcare
Environmental/Green
Clerical Office Work
Legal
Electrical/Carpentry","Plays an Instrument
Microsoft Word, Powerpoint, Excel",F,
200,16,21,21228,21,South,No,No,Yes,"Musical Arts
Computer Information Tech
Custodial",,E,
201,16,20,21201,10,Downtown,No,Yes,Yes,"Community Service
Custodial
Clerical Office Work
Elderly Services","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
202,16,17,21229,7,West,No,Yes,Yes,"STEM
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",F,
203,14,21,21220,5,Outside City (East),No,No,No,"Visual Arts
Pre-School Childcare
Recreation And Sports
Hospitality/Travel
Graphic Design","Microsoft Word, Powerpoint, Excel",C,
204,16,21,21201,5,Downtown,Yes,No,Yes,"Recreation And Sports
Business/Finance
Community Service
Computer Information Tech
Custodial",,E,
205,15,16,21218,19,East,Yes,Yes,Yes,"Pre-School Childcare
Environmental/Green
Government/Public Service
Community Service
Clerical Office Work","Microsoft Word, Powerpoint, Excel",D,
206,18,20,21229,13,West,Yes,No,Yes,"Recreation And Sports
Teacher's Aide
Computer Information Tech
STEM
Graphic Design",Swimming,D,
207,19,21,21201,10,Downtown,Yes,No,No,"Musical Arts
Recreation And Sports
Camp Counselor
Business/Finance","Microsoft Word, Powerpoint, Excel",A,
208,14,16,21229,11,West,Yes,No,No,Custodial,,H,
209,16,18,21204,1,Outside City (East),No,Yes,Yes,"Government/Public Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
210,14,18,21216,7,West,No,No,No,Pre-School Childcare,,F,
211,16,18,21215,6,West,No,No,No,"Visual Arts
Government/Public Service
Custodial
Architecture",,A,
212,16,19,21215,7,West,No,No,No,Camp Counselor,,F,
213,18,20,21201,6,Downtown,No,No,No,"Business/Finance
Government/Public Service
Custodial
Communication/Media","Microsoft Word, Powerpoint, Excel",E,
214,14,17,21163,1,Outside City (West),No,No,No,"Camp Counselor
Legal
Auto Mechanics",,D,
215,16,20,21201,11,Downtown,Yes,Yes,Yes,"Teacher's Aide
Government/Public Service
Culinary Arts/Food Service
Computer Information Tech
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",F,
216,16,18,21163,1,Outside City (West),No,Yes,Yes,"Custodial
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
217,16,20,21201,8,Downtown,No,Yes,Yes,"Environmental/Green
Clerical Office Work
Electrical/Carpentry","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
